"age_in_years" "PI" "FI" "AD" "FC" "IGC"
24.4518021428571 4 3.2 4 3 4.66666666666667
29.5633814285714 4.71428571428571 3.6 3.875 4.4 5
32.1698214285714 4.14285714285714 3.2 4.125 4.4 4.83333333333333
48.7146921428571 4.14285714285714 2.4 4.25 3.6 4.66666666666667
23.132155 3 3 2.75 3 4.66666666666667
39.3922885714286 3.71428571428571 4 4 4.8 4.5
31.4853571428571 4 2.4 3.125 3.4 3.5
23.7673378571429 4.28571428571429 3.4 5 5 5
40.7420521428571 3.71428571428571 3.2 4 4.6 3.8
23.2307178571429 4 4 4 3.8 4.83333333333333
36.6571692857143 3.57142857142857 3.2 3.875 3.2 4.83333333333333
41.66471 4.71428571428571 3 3.875 4.8 5
48.1479557142857 2.85714285714286 3.6 3.375 3.6 3.66666666666667
38.080855 4.42857142857143 3.4 4 4.6 4.83333333333333
32.1944621428571 3.85714285714286 1.4 2.75 2.6 3.5
23.7618621428571 4.71428571428571 3.8 4.375 3.8 4.5
32.7365578571429 4.71428571428571 3.2 4.875 3.6 5
27.5756971428571 4.57142857142857 4 4.125 4.4 4.83333333333333
34.7434071428571 5 4 4.5 4 5
24.4381128571429 3.85714285714286 3 3.25 4.4 3.83333333333333
46.4586978571429 3 3.2 2 3.4 4.33333333333333
27.4880857142857 4.42857142857143 3 3.25 3.6 4.5
39.1020757142857 4.85714285714286 4 4.375 4.8 5
23.2170285714286 3.71428571428571 2.8 4.625 3.2 4.66666666666667
28.5147821428571 3.57142857142857 3.6 3.375 3.8 4.33333333333333
38.3382135714286 3.85714285714286 2.8 3.25 3 3.5
37.0541585714286 3.42857142857143 2.4 3.875 4 4.33333333333333
25.7714492857143 2.57142857142857 3.6 3.25 3.8 3.66666666666667
46.4395328571429 3.71428571428571 3.2 3.75 3.8 4.33333333333333
35.7646278571429 4 3.2 3.42857142857143 3 4.83333333333333
36.4408785714286 2.57142857142857 3 3.75 3.8 4.5
33.2649642857143 4 4 3.5 4 5
48.0877228571429 4 2.8 4 3.4 4.83333333333333
44.6024307142857 4 1.2 3.5 3.4 5
27.7372307142857 4 1.4 3.625 1 3.5
37.1554592857143 3.42857142857143 3.4 4.375 3.8 4.33333333333333
36.1534035714286 3.85714285714286 3 4.625 4 4.83333333333333
47.4689671428571 4.71428571428571 3.6 3.625 3.6 4
25.6071778571429 4.71428571428571 3.2 4 4.4 5
22.4257878571429 3.42857142857143 2.6 3.625 3.2 4.83333333333333
56.1397607142857 3.71428571428571 2 3.5 2 3.83333333333333
26.6530392857143 4.14285714285714 2.4 3.75 3.6 4.16666666666667
52.7311285714286 3.28571428571429 3.2 3.125 3.4 4.2
45.7386414285714 4.57142857142857 3.2 4.375 4.2 5
33.7167107142857 3.57142857142857 1 2.25 2 3.83333333333333
36.0767435714286 4.42857142857143 3.2 4.875 4 4.83333333333333
45.3279628571429 3.42857142857143 2.8 3.625 2.8 4.33333333333333
34.2807092857143 3.57142857142857 4.6 3.75 4.8 5
24.7584421428571 4 3.2 3.625 4.4 4.33333333333333
56.38343 3.14285714285714 2.4 3.75 4 4.83333333333333
29.0787807142857 5 5 5 4.8 5
27.3238142857143 2.42857142857143 3.8 2.625 5 3.83333333333333
53.6893785714286 4 3.2 3.875 4 4.66666666666667
30.0780985714286 5 3.4 4.875 4.4 5
32.0493557142857 3.85714285714286 4 3.625 4 5
49.2047685714286 2.57142857142857 2.8 3.375 4.2 4.4
34.6667471428571 4.28571428571429 3.8 4.375 3.4 5
33.519585 2.85714285714286 3.4 2.875 3.6 4.16666666666667
41.2896235714286 3 2.2 3.5 2.8 4.16666666666667
40.4846935714286 2.85714285714286 2 4.125 4 4.5
34.6859121428571 3.57142857142857 3.2 3.875 3.4 4.66666666666667
23.6003285714286 2 2.8 2.5 2 3.5
44.7256342857143 3 3.2 4 4 5
33.1773528571429 4 3.6 3.875 3.8 4.66666666666667
45.5524671428571 4.42857142857143 3 3.375 2.8 4.66666666666667
32.3340928571429 3.85714285714286 3.4 3.25 4 5
25.4182657142857 4.57142857142857 3.4 4.375 5 4.83333333333333
30.0589335714286 3.57142857142857 2 3.25 4.4 4.5
26.3381857142857 4 3.6 4 4.8 4.83333333333333
35.167775 3.42857142857143 2.8 3.125 4.6 3.66666666666667
37.1855757142857 3.28571428571429 3.2 3.5 3.4 4.83333333333333
26.0890407142857 3.71428571428571 2.2 1.75 1 3.5
25.278635 3.71428571428571 2 3 2.8 4.5
38.1848935714286 3.42857142857143 3.2 3 4 4.83333333333333
45.7304278571429 3.85714285714286 3.2 3.75 4 4.16666666666667
51.2773264285714 3.14285714285714 2.8 3.75 3.8 4.66666666666667
46.3902514285714 2.28571428571429 2.25 2.75 2.8 3.33333333333333
35.6523757142857 4 3.2 4.25 4 5
29.149965 3 2.6 3.5 4 4.16666666666667
32.1643457142857 1.28571428571429 2.2 2.625 3 3.5
28.1424335714286 3.42857142857143 3 3.625 3.8 4.83333333333333
44.5695764285714 4.28571428571429 3.6 3.25 3.4 4
46.4915521428571 5 4.4 4.875 4.6 5
43.4196764285714 2.71428571428571 1.2 3.125 2.6 4.5
34.1465542857143 4 3.8 3.75 4 4.5
30.6749514285714 3.85714285714286 3.8 4.25 4.8 4.66666666666667
38.4751064285714 3.85714285714286 3.2 4.125 4 4.66666666666667
35.4607257142857 4 2.8 3.25 3.8 4.33333333333333
28.4846657142857 4.57142857142857 4 3.75 4.4 5
37.4046042857143 3 2.4 3.375 3.8 4.66666666666667
23.6085421428571 5 4.6 3.875 4.6 5
21.11983 4 2.2 3.5 2.8 4.5
45.1609535714286 4 3.2 3.875 4.6 4.83333333333333
30.1739235714286 4.14285714285714 2.4 3.375 3.4 4.33333333333333
28.3203942857143 4 3.2 3.625 3.2 4.83333333333333
27.3648821428571 2.71428571428571 2 2.125 2.2 3.83333333333333
54.5408521428571 4 4 4.375 4 4.83333333333333
36.7803728571429 4.71428571428571 1.8 4.125 3.2 4.83333333333333
30.2779621428571 4.85714285714286 3 4.625 4.2 5
42.43131 4.14285714285714 3.8 4.375 5 5
27.4141635714286 3.71428571428571 3 3.75 3.6 4.83333333333333
26.3053314285714 2.71428571428571 3 3.5 3.6 4.83333333333333
29.5934978571429 3.14285714285714 3 3.375 3.6 4
32.46551 2.71428571428571 2.6 2.625 2.6 3.66666666666667
44.4272078571429 3.28571428571429 3.8 3 5 3.16666666666667
27.4990371428571 3.8 3 4.25 3.75 4.33333333333333
34.2916607142857 4.28571428571429 4.4 4.375 4.8 5
46.6612992857143 3.42857142857143 3.4 4 4.4 4.83333333333333
27.3128628571429 4.42857142857143 4 4.75 3.8 4.66666666666667
42.7269985714286 4 4.6 4.25 4.4 5
35.4662014285714 4 3.4 3 4.2 4.33333333333333
39.6852392857143 3.85714285714286 3.4 4.25 4.8 5
54.0863678571429 3.42857142857143 3.4 4.375 4.4 5
29.5743328571429 2.71428571428571 2.2 2.5 2.6 3.5
28.5202578571429 3.14285714285714 3.2 3.5 4.6 3.66666666666667
21.5195571428571 3.71428571428571 2.2 3.625 2.6 5
23.5072414285714 2.14285714285714 1 1.875 1 2.33333333333333
27.6496192857143 5 3.2 4.125 5 4.66666666666667
29.7331285714286 5 4.4 4 4.4 5
31.7892592857143 4.28571428571429 3.6 3.875 4 4.6
25.75776 4 4 4.75 4.4 4.83333333333333
32.6982278571429 4 3.6 3 4 5
27.32929 3.28571428571429 3.2 3.25 4.4 3.66666666666667
27.2033485714286 3.57142857142857 2.6 3.5 2.4 4.33333333333333
29.1472271428571 4.57142857142857 3.4 4.125 5 5
48.6325564285714 3.28571428571429 3 2.875 3.6 3.83333333333333
28.0630357142857 4.42857142857143 3 3.625 4.2 4.66666666666667
36.7091885714286 3.57142857142857 1.2 2.625 2.4 4.5
36.4244514285714 4 3.6 3.5 3.8 4.83333333333333
33.6071964285714 3.85714285714286 3.4 4 3.6 5
23.68794 5 5 5 5 5
29.2895957142857 5 2.4 4.125 3.8 4.83333333333333
30.5216314285714 3.42857142857143 4.2 4.125 3.8 4.66666666666667
27.1458535714286 4.42857142857143 4.6 3.75 3.8 4.83333333333333
20.4955985714286 2.42857142857143 1 1.625 1.4 3.33333333333333
19.6769792857143 4.85714285714286 3.4 4.75 4.2 4.83333333333333
38.4504657142857 2.71428571428571 3.2 4.5 3 5
20.5092878571429 4.71428571428571 3.4 3.75 3.2 4.66666666666667
39.2252792857143 4.28571428571429 3.8 4.375 4.6 5
40.6736057142857 3.28571428571429 2.6 3.375 3.4 4.5
35.1759885714286 2.71428571428571 4.6 5 5 5
31.7016478571429 4 4 3.875 4 4.16666666666667
32.2820735714286 1.71428571428571 1.8 3.5 2.8 4.6
25.2485185714286 4.57142857142857 4.2 4.625 5 5
26.1711764285714 2.85714285714286 3.2 3.875 3.2 4.66666666666667
37.2814007142857 1.28571428571429 1.4 2.5 2.2 3.66666666666667
37.1581971428571 3.28571428571429 3.2 3 3 4.66666666666667
33.7167107142857 4.14285714285714 3.4 5 5 5
28.5229957142857 2.71428571428571 2.8 3.125 3.6 4
37.67839 4.14285714285714 1.6 3.875 4.8 4.83333333333333
30.3135542857143 4.71428571428571 4.4 4.75 4.8 5
45.1280992857143 3.71428571428571 3.2 3.875 3.4 4.83333333333333
42.77628 3.28571428571429 2.33333333333333 4 3.8 4.5
35.7372492857143 3.85714285714286 3.6 3.875 4.4 4.83333333333333
